Vds,Ids (Vg=9.0V),Ids (Vg=12.0V),Ids (Vg=15.0V),Ids (Vg=18.0V)
4.02744705882353,5.160780392156863,,,
4.032672549019608,,,35.613098039215686,
4.05751568627451,,,,46.27984313725489
4.108498039215686,,18.94382352941177,,
4.118954901960784,5.252286274509805,,,
4.159476470588235,,,36.45750980392156,
4.228002,,19.6187,,
4.245752941176471,5.414380392156864,,,
4.253603921568627,,,37.487607843137255,
4.265358823529413,,,,49.06149019607843
4.318956862745098,,20.13592156862745,,
4.361328000000001,,,38.33602,
4.369933333333334,5.453598039215688,,,
4.421344000000001,,20.80532,,
4.439229411764707,,,39.18701960784314,
4.449346,,,,51.792080000000006
4.452016,5.55733,,,
4.49601,,21.282580000000003,,
4.5072,,,40.01568627450981,
4.533328,5.682665999999999,,,
4.562672,,21.88532,,
4.604004,,,41.013360000000006,
4.613068627450979,5.843135294117648,,,
4.615682352941176,,,,54.397333333333336
4.701964705882354,5.827452941176471,,,
4.703266666666666,,22.922901960784312,,
4.708004,,,41.7919,
4.819996000000001,,,42.42134,
4.82091568627451,,23.59478431372549,,
4.8280080000000005,,,,57.117360000000005
4.854903921568628,5.963398039215687,,,
4.924182352941177,,24.07578431372549,,
4.933336,,,43.48802,
4.947994,6.167986000000001,,,
5.009149019607843,,24.645764705882357,,
5.039996,6.231996000000001,,,
5.04,,,44.40798,
5.051998,,,,59.738600000000005
5.099339215686275,,25.239078431372548,,
5.12286274509804,,,45.06929411764706,
5.1254784313725485,6.358164705882352,,,
5.176456862745098,,25.589529411764705,,
5.2013,,,45.50850980392156,
5.218664,,,,62.28015999999999
5.219998,6.456,,,
5.281058823529412,,26.20133333333333,,
5.310666,6.594663999999999,,,
5.330662,,,46.68532,
5.392158823529411,,26.703431372549016,,
5.3973320000000005,,,,64.70932
5.41176274509804,,,46.92549019607844,
5.423529411764706,6.7503215686274505,,,
5.496,,27.146679999999996,,
5.518954901960784,,,48.12809803921569,
5.53733,6.84266,,,
5.6013340000000005,,27.597320000000003,,
5.613072549019608,,,48.81831372549019,
5.6418333333333335,6.661439215686274,,,
5.649336,,,,66.97072000000001
5.707999999999999,,28.14932,,
5.735995999999999,,,49.48802,
5.755550980392156,6.941180392156862,,,
5.820927450980391,,,50.03398039215686,
5.824011999999999,,28.49866,,
5.836619607843136,7.257523529411767,,,
5.8928215686274505,,29.01437254901961,,
5.908008,,,50.67734,
5.915045098039216,7.34117254901961,,,
