Vds,Ids (Vg=5.0V),Ids (Vg=7.0V),Ids (Vg=9.0V),Ids (Vg=12.9V),Ids (Vg=14.9V)
3.05718407960199,,,,,73.3913184079602
3.065947263681592,,5.531342288557214,,,
3.0661407960199005,,,26.98636815920398,,
3.0767562189054725,0.1522383333333333,,,,
3.079216417910448,,,,,74.42951243781094
3.0940004975124378,,,27.06895024875622,,
3.116884577114428,,5.364842786069652,,,
3.1209293532338305,,,,,76.00333333333333
3.128160199004975,0.1519066119402985,,,,
3.159467164179104,,,27.09316915422885,,
3.1663014925373134,,5.374126865671642,,,
3.1759870646766166,,,,,77.28362189054727
3.1814885572139304,0.1379762437810945,,,,
3.2108781094527368,,,26.887880597014924,,
3.215904975124378,,5.458372636815921,,,
3.22406815920398,,,,,78.65008955223881
3.225733333333334,0.1379760995024875,,,,
3.257508457711444,,,26.936303482587064,,
3.263282587064677,,5.350581592039801,,,
3.264476616915424,,,,,80.00330348258707
3.274030348258707,0.1300159402985074,,,,
3.295256218905473,,,26.98275124378109,,
3.3160870646766174,,,,,81.11937810945273
3.317614427860696,,5.335983582089553,,,
3.3315437810945268,0.1313428407960198,,,,
3.356294029850746,,5.382754228855721,,,
3.3651139303482585,,,26.97444278606965,,
3.369021890547263,0.1475950348258706,,,,
3.369099004975124,,,,,82.35654228855722
3.4100179104477606,,,26.916726368159207,,
3.412927860696517,,5.34295223880597,,,
3.416119402985074,,,,,83.6368606965174
3.427798507462686,0.131011343283582,,,,
3.460102985074627,,,27.0871592039801,,
3.4673293532338305,,5.363514925373135,,,
3.473634825870646,,,,,85.1525472636816
3.4758253731343283,0.1396346865671641,,,,
3.5085218905472635,,,27.171398009950245,,
3.5096512437810947,,5.40132736318408,,,
3.5162159203980097,,,,,86.02324875621892
3.518198,0.1499998299999999,,,,
3.5444124378109447,,,27.201611940298505,,
3.5635810945273634,,,,,87.16584079601989
3.566238308457712,,5.259363681592041,,,
3.5777355000000006,0.0999994249999999,,,,
3.604112437810946,,,,,88.12767661691542
3.607424378109453,,,27.22879104477612,,
3.613988557213931,,5.260691542288558,,,
3.618125500000001,0.144999505,,,,
3.6412577114427855,,,,,89.24544776119403
3.641259701492537,,,27.25070646766169,,
3.655325870646766,,5.245770149253732,,,
3.6676597014925374,0.1180757910447761,,,,
3.6962502487562183,,,27.252671641791043,,
3.701226368159204,,,,,90.30180099502488
3.715358208955224,,5.240458706467661,,,
3.724245273631841,0.1276943482587064,,,,
3.746994029850746,,,,,91.35808457711444
3.748129850746268,,,27.281228855721395,,
3.762060199004974,,5.419899502487563,,,
3.770678109452736,0.132337855721393,,,,
3.798409950248756,,,27.038089552238805,,
3.8045069651741295,,5.429187562189055,,,
3.8205995,0.158666005,,,,
3.85180447761194,,,27.02582587064677,,
3.863281592039802,,5.428189552238806,,,
3.8770084577114425,0.1704802885572139,,,,
3.903867164179104,,,27.037398009950248,,
3.908049751243781,,5.418238805970151,,,
3.9173315,0.12499926,,,,
3.955688557213931,,5.415257213930348,,,
3.957013432835821,,,27.05502487562189,,
3.9711422885572154,0.1353226467661691,,,,
4.005106467661692,,,27.1409104477612,,
4.008953233830845,,5.311443781094527,,,
4.021967661691542,0.1326694228855721,,,,
4.050083582089552,,5.73897512437811,,,
4.055995522388059,,,27.03112935323383,,
4.072043283582088,0.1426196766169154,,,,
4.107266169154229,,5.325041293532339,,,
4.108052736318408,,,27.02649253731344,,
4.122784577114428,0.1330010995024875,,,,
4.150446766169154,,,26.915358208955222,,
4.156356218905472,,5.414592537313433,,,
4.1631965,0.1169991899999999,,,,
4.19130696517413,,,27.01155721393035,,
4.199734328358209,,5.435158208955225,,,
4.21552288557214,0.1243776616915422,,,,
4.251540298507464,,,26.94493532338309,,
4.254659203980101,,5.433828358208956,,,
4.270532500000001,0.13133265,,,,
4.298098507462687,,5.439471144278606,,,
4.308188059701493,,,27.91511940298508,,
4.311172636815921,0.1363179950248756,,,,
4.346001492537313,,5.478606965174129,,,
4.34666368159204,,,27.12030845771144,,
4.3658005,0.1436662,,,,
4.392571144278607,,,26.794393034825877,,
4.403649751243781,,5.506137313432836,,,
4.417046766169154,0.1207292388059701,,,,
4.447496517412935,,5.432173631840796,,,
4.447696019900497,,,26.96810945273632,,
4.4602303482587065,0.1542282835820895,,,,
4.494524378109452,,5.5376432835820895,,,
4.500169651741294,,,27.083835820895526,,
4.514165671641791,0.1237140099502487,,,,
4.545207462686568,,,28.024870646766168,,
4.551574129353234,,5.529688059701494,,,
4.5664560000000005,0.14899936,,,,
4.582809452736319,,,28.01555721393035,,
4.589780099502488,,5.542951741293532,,,
4.6064323383084576,0.1313429004975124,,,,
4.631045771144279,,,28.02322388059701,,
4.640199502487563,,5.534326865671643,,,
4.664801499999999,0.132666155,,,,
