Vds,Ids (Vg=2.5V)_x,Ids (Vg=2.5V)_y,Ids (Vg=3.0V),Ids (Vg=4.0V),Ids (Vg=6.0V),Ids (Vg=8.0V),Ids (Vg=10.0V),Ids (Vg=12.0V),Ids (Vg=15.0V)
1.83993631840796,,,13.668293532338309,,,,,,
1.8497601990049757,,,,,102.33641791044774,,,,
1.8497601990049757,,,,,102.33641791044774,,,,
1.8649447761194031,,,,82.26536815920397,,,,,
1.8685258706467665,1.6669965174129358,,,,,,,,
1.8769492537313432,,,,,,,105.28661691542288,,
1.877610945273632,,,,,,,,105.70621890547262,
1.8796169154228852,,,,,,105.19273631840797,,,
1.8796169154228852,,,,,,105.19273631840797,,,
1.8796169154228852,,,,,,105.19273631840797,,,
1.8796681592039803,,,,,,,,,105.97189054726368
1.8874940298507463,,1.4809354228855725,,,,,,,
1.8945915422885573,,,13.565517412935325,,,,,,
1.9046776119402984,,,,83.18869651741294,,,,,
1.9199985074626864,1.6696512437810949,,,,,,,,
1.9314079601990048,,,,,,,,106.87388059701492,
1.9340646766169152,,,,,,,,,106.99850746268658
1.9363860696517412,,,,,,,106.51243781094529,,
1.936646766169154,,,,,104.62283582089552,,,,
1.9371810945273635,,,,83.81622388059702,,,,,
1.9407621890547264,,1.5638573631840795,,,,,,,
1.9536323383084575,,,13.61857711442786,,,,,,
1.974647263681592,1.759202487562189,,,,,,,,
1.9761736318407963,,,,,,,,108.03492537313431,
1.9774353233830848,,,,,,,107.63228855721395,,
1.9774368159203983,,,,,,,,,108.1068656716418
1.9847378109452736,,1.49752263681592,,,,,,,
1.9978701492537312,,,13.684930348258709,,,,,,
2.0014940298507464,,,,,105.74691542288558,,,,
2.0229522388059697,1.6855746268656715,,,,,,,,
2.024615422885572,,,,,,,,109.03064676616916,
2.0265308457711444,,,,,,,108.68094527363183,,
2.0288542288557214,,,,,,,,,109.02388059701492
2.0301810945273635,,,,,,108.47741293532336,,,
2.0301810945273635,,,,,,108.47741293532336,,,
2.0301810945273635,,,,,,108.47741293532336,,,
2.0324925373134333,,,,84.55194527363186,,,,,
2.0350223880597014,,,,84.54725870646764,,,,,
2.0387402985074625,,1.5024939800995027,,,,,,,
2.043785572139304,,,,,106.81890547263684,,,,
2.050744278606965,,,13.650099502487562,,,,,,
2.0746243781094527,1.4520731343283582,,,,,,,,
2.080729850746269,,,,,,,109.59363184079602,,
2.080733830845771,,,,,,,,110.07681592039802,
2.083183084577114,,,,,,,,,110.26711442786068
2.091043781094528,,,,,107.81925373134328,,,,
2.091043781094528,,,,,107.81925373134328,,,,
2.091043781094528,,,,,107.81925373134328,,,,
2.091043781094528,,,,,107.81925373134328,,,,
2.093401990049752,,1.4494249751243782,,,,,,,
2.103881094527363,,,13.852398009950251,,,,,,
2.118208955223881,,,,85.96415920398012,,,,,
2.1229835820895526,1.4852409452736317,,,,,,,,
2.125105970149254,,,,,,,,,111.2702487562189
2.125703980099503,,,,,,,,110.99039800995024,
2.1272288557213934,,,,,,,110.59537313432836,,
2.1304154228855725,,,,86.6321592039801,,,,,
2.13266368159204,,1.404647263681592,,,,,,,
2.149385572139304,,,13.90544776119403,,,,,,
2.1637114427860693,1.615920895522388,,,,,,,,
2.169687064676617,,,,,,,,111.8707960199005,
2.169752736318408,,,,,,,,,111.87223880597014
2.17353184079602,,,,,,,111.46313432835822,,
2.185736815920398,,,,87.14690049751245,,,,,
2.1887213930348257,,1.4510836815920398,,,,,,,
2.193362189054726,,,,,,111.34606965174127,,,
2.196220895522388,,,13.8773184079602,,,,,,
2.226269154228856,,,,,,,,112.66845771144278,
2.2263308457711446,,,,,,,112.25900497512436,,
2.227464676616916,,,,,,,,,112.70457711442783
2.229521890547264,1.5728019900497512,,,,,,,,
2.239795024875622,,1.4427951243781092,,,,,,,
2.245589552238806,,,,,,112.20955223880595,,,
2.245965174129353,,,13.877283582089552,,,,,,
2.26685223880597,,,,88.08624875621891,,,,,
2.268325870646766,1.563512935323383,,,,,,,,
2.268591542288557,,,,,,,113.0481592039801,,
2.270110945273632,,,,,,,,,113.5721393034826
2.2709771144278608,,,,,,,,113.55069651741294,
2.275286069651741,,,,,111.19671641791044,,,,
2.276749253731344,,,,87.73861691542288,,,,,
2.278276119402985,,,,,,113.07840796019902,,,
2.287492039800995,,1.4743020398009952,,,,,,,
2.299635820895522,,,14.04639303482587,,,,,,
2.322983582089552,,,,88.7767711442786,,,,,
2.3237194029850743,,,,,,,113.87233830845771,,
2.3244462686567164,1.4308462189054725,,,,,,,,
2.32451144278607,,,,,,,,,114.45084577114427
2.325171641791045,,,,,,,,114.53701492537311,
2.329681094527364,,,,,112.0599502487562,,,,
2.330179104477612,,,,,,113.89467661691543,,,
2.341691542288557,,1.5472741791044775,,,,,,,
2.358672139303483,,,13.961860696517414,,,,,,
2.3725402985074626,,,,,,,114.71572139303484,,
