Tempo (s),Tensao (V)
-0.0005899999999999998,0.989375
-0.0005799999999999998,0.99125
-0.0005699999999999998,0.98791667
-0.0005599999999999997,0.99479167
-0.0005499999999999997,0.98375
-0.0005399999999999997,1.0041667
-0.0005299999999999997,0.96916667
-0.0005200000000000001,1.036875
-0.00051,0.66270833
-0.0005,0.005
-0.00049,0.015625
-0.00047999999999999996,-0.0070833333
-0.00046999999999999993,0.0072916667
-0.0004599999999999999,-0.0025
-0.0004499999999999999,0.0027083333
-0.00043999999999999985,0.00020833333
-0.0004299999999999998,0.0010416667
-0.0004199999999999998,0.00041666667
-0.0004099999999999998,0.00041666667
-0.00039999999999999975,-0.00041666667
-0.0003899999999999997,0.00041666667
-0.0003799999999999997,0.00020833333
-0.00036999999999999967,0.00020833333
-0.00035999999999999964,-0.00041666667
-0.00035000000000000005,-0.00041666667
-0.00034,0.00020833333
-0.00033,0.0
-0.00031999999999999997,0.00041666667
-0.00030999999999999995,0.0
-0.0002999999999999999,0.00020833333
-0.0002899999999999999,0.0
-0.00027999999999999987,0.00020833333
-0.00026999999999999984,0.00020833333
-0.0002599999999999998,0.00020833333
-0.0002499999999999998,-0.00041666667
-0.00023999999999999976,0.00020833333
-0.00022999999999999974,0.0
-0.0002199999999999997,0.00041666667
-0.00020999999999999968,0.00020833333
-0.00019999999999999966,-0.00020833333
-0.00018999999999999963,0.00020833333
-0.00018000000000000004,0.00041666667
-0.00017,0.00041666667
-0.00015999999999999999,0.00020833333
-0.00014999999999999996,0.00020833333
-0.00013999999999999993,0.00020833333
-0.0001299999999999999,0.00041666667
-0.00011999999999999988,0.00041666667
-0.00010999999999999985,0.00041666667
-9.999999999999983e-05,0.0
-8.99999999999998e-05,0.00083333333
-7.999999999999978e-05,-0.0010416667
-6.999999999999975e-05,0.003125
-5.9999999999999724e-05,-0.0041666667
-4.99999999999997e-05,0.0075
-3.999999999999967e-05,-0.012708333
-2.9999999999999645e-05,0.022708333
-1.999999999999962e-05,-0.045
-1.0000000000000026e-05,0.32833333
0.0,0.98479167
1.0000000000000026e-05,0.97375
2.0000000000000052e-05,0.996875
3.000000000000008e-05,0.98375
4.0000000000000105e-05,0.993125
5.000000000000013e-05,0.98791667
6.000000000000016e-05,0.99041667
7.000000000000018e-05,0.98916667
8.000000000000021e-05,0.99
9.000000000000024e-05,0.98979167
0.00010000000000000026,0.99
0.00011000000000000029,0.98979167
0.00012000000000000031,0.99020833
0.00013000000000000034,0.99041667
0.00014000000000000037,0.990625
0.0001500000000000004,0.990625
0.00015999999999999999,0.990625
0.00017,0.99125
0.00018000000000000004,0.99125
0.00019000000000000006,0.991875
0.0002000000000000001,0.99145833
0.00021000000000000012,0.99125
0.00022000000000000014,0.99125
0.00023000000000000017,0.99166667
0.0002400000000000002,0.99166667
0.0002500000000000002,0.99125
0.00026000000000000025,0.99083333
0.0002700000000000003,0.99083333
0.0002800000000000003,0.99104167
0.0002900000000000003,0.99104167
0.00030000000000000035,0.990625
0.0003100000000000004,0.99
0.0003200000000000004,0.99020833
0.00033,0.99041667
0.00034,0.99083333
0.00035000000000000005,0.990625
0.0003600000000000001,0.99020833
0.0003700000000000001,0.99
0.00038000000000000013,0.990625
0.00039000000000000016,0.99104167
0.0004000000000000002,0.99104167
0.0004100000000000002,0.99020833
0.00042000000000000023,0.99208333
0.00043000000000000026,0.98895833
0.0004400000000000003,0.99625
0.0004500000000000003,0.98458333
0.00046000000000000034,1.00375
0.00047000000000000037,0.96875
0.0004800000000000004,1.0366667
0.0004900000000000004,0.66354167
0.0005,0.005625
0.00051,0.015208333
0.0005200000000000001,-0.0072916667
0.0005300000000000001,0.0070833333
0.0005400000000000001,-0.0016666667
0.0005500000000000001,0.0029166667
0.0005600000000000002,-0.00020833333
0.0005700000000000002,0.00083333333
0.0005800000000000002,0.00020833333
0.0005900000000000002,0.00083333333
0.0006000000000000003,0.000625
0.0006100000000000003,0.00041666667
0.0006200000000000003,-0.000625
0.0006300000000000004,0.00020833333
0.0006400000000000004,0.000625
0.0006500000000000004,0.00083333333
0.0006600000000000004,0.00020833333
0.00067,0.0
0.00068,0.0
0.0006900000000000001,0.000625
0.0007000000000000001,0.00041666667
0.0007100000000000001,0.00020833333
0.0007200000000000002,-0.000625
0.0007300000000000002,-0.00020833333
0.0007400000000000002,0.00020833333
0.0007500000000000002,0.00083333333
0.0007600000000000003,0.00041666667
0.0007700000000000003,0.0
0.0007800000000000003,0.00020833333
0.0007900000000000003,0.00041666667
0.0008000000000000004,0.00083333333
0.0008100000000000004,0.00020833333
0.0008200000000000004,0.00020833333
0.0008300000000000004,-0.000625
0.0008400000000000005,0.000625
0.0008500000000000001,0.000625
0.0008600000000000001,0.00020833333
0.0008700000000000001,0.0
0.0008800000000000001,-0.00020833333
0.0008900000000000002,0.00041666667
0.0009000000000000002,0.000625
0.0009100000000000002,0.00083333333
0.0009200000000000007,-0.00083333333
0.0009300000000000003,0.0025
0.0009399999999999999,-0.00375
0.0009500000000000003,0.008125
0.0009599999999999999,-0.012083333
0.0009700000000000004,0.022291667
0.00098,-0.045208333
0.0009900000000000004,0.32770833
0.001,0.98479167
0.0010100000000000005,0.97375
0.00102,0.99604167
0.0010300000000000005,0.98291667
0.0010400000000000001,0.99208333
0.0010500000000000006,0.98791667
0.0010600000000000002,0.99
0.0010700000000000006,0.98875
0.0010800000000000002,0.98916667
0.0010900000000000007,0.98979167
0.0011000000000000003,0.99020833
0.0011099999999999999,0.990625
0.0011200000000000003,0.990625
0.00113,0.99104167
0.0011400000000000004,0.99104167
0.00115,0.99166667
0.0011600000000000004,0.99166667
0.00117,0.99166667
0.0011800000000000005,0.99125
0.00119,0.99125
